               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
131,0.048684,0.023769,0.0088721,0.52032,0.48387,0.46923,0.17981,0.043418,0.015398,0.011761,0.00571,0.00571,0.00571
132,0.048682,0.023621,0.0086383,0.51735,0.48714,0.47005,0.1801,0.043418,0.015396,0.011769,0.005677,0.005677,0.005677
133,0.048663,0.023576,0.0090642,0.51475,0.48615,0.46973,0.17975,0.04341889,0.015394,0.011776,0.005644,0.005644,0.005644
134,0.048588,0.023569,0.0086583,0.52032,0.48424,0.4706,0.17997,0.04341887,0.015392,0.011778,0.005611,0.005611,0.005611
135,0.048655,0.023684,0.0089066,0.50577,0.49432,0.47001,0.1801,0.04341886,0.015389,0.011784,0.005578,0.005578,0.005578
136,0.04805,0.023514,0.0086767,0.50776,0.49465,0.47077,0.18023,0.04341885,0.015386,0.011795,0.005545,0.005545,0.005545
137,0.048298,0.023348,0.0084699,0.50307,0.49733,0.47057,0.18064,0.04341884,0.015384,0.011801,0.005512,0.005512,0.005512
138,0.048336,0.023412,0.0085512,0.49805,0.50321,0.47308,0.18105,0.04341883,0.015382,0.011816,0.005479,0.005479,0.005479
139,0.048327,0.023522,0.0087408,0.49401,0.50589,0.47242,0.1813,0.04341883,0.015378,0.011826,0.005446,0.005446,0.005446
140,0.048123,0.023361,0.0087597,0.49562,0.50709,0.47289,0.18097,0.04341883,0.015376,0.011833,0.005413,0.005413,0.005413
141,0.04815,0.023825,0.0085095,0.49981,0.50378,0.47336,0.18157,0.04341883,0.015374,0.011833,0.00538,0.00538,0.00538
142,0.048105,0.023615,0.008382,0.49624,0.5049,0.47274,0.18181,0.04341883,0.015373,0.011841,0.005347,0.005347,0.005347
143,0.047937,0.023093,0.0083842,0.50058,0.50257,0.47339,0.18151,0.04341883,0.015371,0.011842,0.005314,0.005314,0.005314
144,0.047927,0.02321,0.008368,0.49602,0.5054,0.47293,0.18167,0.04341883,0.01537,0.011852,0.005281,0.005281,0.005281
145,0.048144,0.023281,0.0085619,0.49146,0.5099,0.4738,0.18138,0.04341883,0.015367,0.011857,0.005248,0.005248,0.005248
146,0.047913,0.023332,0.0083503,0.50807,0.49744,0.47452,0.18153,0.04341883,0.015366,0.01186,0.005215,0.005215,0.005215
147,0.047959,0.023341,0.00842,0.4943,0.50882,0.47433,0.18173,0.04341883,0.015366,0.011866,0.005182,0.005182,0.005182
148,0.047784,0.023347,0.0082609,0.51111,0.49873,0.47482,0.18167,0.04341883,0.015366,0.011868,0.005149,0.005149,0.005149
149,0.047555,0.023241,0.0081421,0.51091,0.49867,0.47466,0.18165,0.04341883,0.015365,0.011879,0.005116,0.005116,0.005116
150,0.047271,0.023063,0.0083011,0.5072,0.50031,0.47493,0.18198,,,,0.005083,0.005083,0.005083
151,0.047735,0.023436,0.0080856,0.49172,0.51422,0.47516,0.18214,,,,0.00505,0.00505,0.00505
