               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
62,0.047956,0.0019994,0.0018781,0.50854,0.48667,0.47468,0.19992,0.046555,0.0011267,0.0015135,0.007987,0.007987,0.007987
63,0.047774,0.0019954,0.001908,0.51115,0.48271,0.47363,0.19982,0.046543,0.0011263,0.001509,0.007954,0.007954,0.007954
64,0.047812,0.0019942,0.0018319,0.49481,0.49767,0.47429,0.2004,0.046527,0.0011259,0.0015057,0.007921,0.007921,0.007921
65,0.047782,0.0019901,0.0018701,0.50515,0.49216,0.47411,0.20031,0.046515,0.0011258,0.0015044,0.007888,0.007888,0.007888
66,0.047758,0.0019757,0.0018924,0.50423,0.49111,0.47391,0.20031,0.046496,0.0011254,0.0015034,0.007855,0.007855,0.007855
67,0.047401,0.0019975,0.0018708,0.50739,0.49108,0.47472,0.20071,0.046483,0.0011251,0.0014999,0.007822,0.007822,0.007822
68,0.047824,0.001969,0.0018666,0.50685,0.49033,0.47485,0.20021,0.046481,0.0011246,0.0014984,0.007789,0.007789,0.007789
69,0.047327,0.0019984,0.0018483,0.5045,0.49092,0.47533,0.20027,0.046487,0.0011243,0.0014976,0.007756,0.007756,0.007756
70,0.047342,0.0020015,0.0018527,0.5087,0.48628,0.47621,0.20024,0.046494,0.0011241,0.0014959,0.007723,0.007723,0.007723
71,0.047515,0.002006,0.0018269,0.48147,0.51285,0.47692,0.20082,0.046478,0.0011239,0.0014948,0.00769,0.00769,0.00769
72,0.047465,0.0019859,0.0018065,0.48747,0.50924,0.47752,0.20061,0.04647,0.001124,0.0014941,0.007657,0.007657,0.007657
73,0.047226,0.0019826,0.0018314,0.50021,0.49799,0.47789,0.2009,0.046461,0.0011239,0.0014936,0.007624,0.007624,0.007624
74,0.047357,0.0019862,0.0018059,0.4719,0.52489,0.47772,0.20054,0.046463,0.0011239,0.0014928,0.007591,0.007591,0.007591
75,0.047265,0.0019778,0.001799,0.52427,0.47759,0.47782,0.20058,0.046465,0.0011237,0.001493,0.007558,0.007558,0.007558
76,0.046905,0.0019807,0.0018343,0.52838,0.47652,0.4777,0.20112,0.046459,0.0011236,0.0014923,0.007525,0.007525,0.007525
77,0.046878,0.001972,0.0018096,0.52425,0.47585,0.47787,0.2012,0.046452,0.0011236,0.0014917,0.007492,0.007492,0.007492
78,0.046749,0.001996,0.0018553,0.49267,0.50328,0.4789,0.2013,0.046449,0.0011237,0.0014918,0.007459,0.007459,0.007459
79,0.046719,0.0020014,0.0017822,0.51682,0.48371,0.48008,0.20181,0.046446,0.0011238,0.0014921,0.007426,0.007426,0.007426
80,0.046691,0.0019727,0.0018184,0.53124,0.47475,0.48012,0.20187,0.046436,0.0011238,0.0014914,0.007393,0.007393,0.007393
81,0.046701,0.0019668,0.0018138,0.54651,0.46676,0.47945,0.20188,0.046427,0.0011238,0.0014898,0.00736,0.00736,0.00736
82,0.046501,0.0019788,0.0018054,0.54299,0.47054,0.48023,0.20205,0.046422,0.0011238,0.0014902,0.007327,0.007327,0.007327
83,0.046713,0.0019689,0.0017833,0.52826,0.48105,0.48072,0.20229,0.046423,0.0011236,0.0014892,0.007294,0.007294,0.007294
84,0.04657,0.0020018,0.0018033,0.52552,0.48115,0.47974,0.20246,0.046416,0.0011233,0.0014888,0.007261,0.007261,0.007261
85,0.046211,0.0019928,0.001722,0.52959,0.47973,0.48054,0.20287,0.046409,0.0011232,0.0014885,0.007228,0.007228,0.007228
86,0.046068,0.0019566,0.0017507,0.53289,0.4786,0.48059,0.20297,0.046408,0.001123,0.0014877,0.007195,0.007195,0.007195
87,0.046195,0.001974,0.0017884,0.52895,0.47975,0.47986,0.20316,0.046407,0.0011228,0.0014864,0.007162,0.007162,0.007162
88,0.046315,0.0019871,0.0017376,0.52451,0.48247,0.47949,0.20341,0.0464,0.0011227,0.0014851,0.007129,0.007129,0.007129
89,0.046308,0.0019769,0.0017254,0.52909,0.47812,0.47999,0.20373,0.046399,0.0011223,0.0014844,0.007096,0.007096,0.007096
90,0.045824,0.0019915,0.0017428,0.52878,0.47972,0.48059,0.20328,0.0464,0.0011223,0.0014837,0.007063,0.007063,0.007063
91,0.045957,0.0019747,0.0017468,0.52868,0.48136,0.48108,0.20334,0.046404,0.0011219,0.0014847,0.00703,0.00703,0.00703
92,0.045999,0.0019719,0.0017512,0.52643,0.4836,0.4813,0.20321,0.04641,0.0011216,0.0014851,0.006997,0.006997,0.006997
93,0.045798,0.001943,0.0017112,0.52858,0.48115,0.48111,0.20322,0.046417,0.0011212,0.0014846,0.006964,0.006964,0.006964
94,0.046065,0.0019858,0.0017446,0.53165,0.47873,0.48129,0.20311,0.046422,0.001121,0.0014865,0.006931,0.006931,0.006931
95,0.045708,0.0019896,0.0017826,0.52839,0.48106,0.48117,0.20357,0.046423,0.0011208,0.001487,0.006898,0.006898,0.006898
96,0.045745,0.001957,0.0016891,0.53077,0.47865,0.48086,0.2033,0.046427,0.0011204,0.0014872,0.006865,0.006865,0.006865
97,0.045538,0.0019723,0.001685,0.51623,0.49003,0.48093,0.20316,0.046426,0.0011203,0.0014872,0.006832,0.006832,0.006832
98,0.045491,0.0019678,0.0017127,0.52255,0.48655,0.48116,0.20365,0.046428,0.0011201,0.0014868,0.006799,0.006799,0.006799
99,0.045295,0.001981,0.0016718,0.5208,0.49014,0.4817,0.20365,0.046429,0.0011198,0.0014871,0.006766,0.006766,0.006766
100,0.045248,0.0019363,0.0017329,0.52788,0.48576,0.48258,0.20372,0.046433,0.0011195,0.0014867,0.006733,0.006733,0.006733
101,0.045688,0.0019549,0.0016953,0.51956,0.4917,0.48282,0.2038,0.046443,0.0011195,0.0014856,0.0067,0.0067,0.0067
102,0.045159,0.0019619,0.0016912,0.52848,0.48697,0.48289,0.20361,0.046451,0.0011192,0.0014848,0.006667,0.006667,0.006667
103,0.04519,0.0019756,0.0016714,0.53537,0.4833,0.48331,0.20366,0.046456,0.001119,0.0014845,0.006634,0.006634,0.006634
104,0.04531,0.0019735,0.001697,0.53589,0.4837,0.48313,0.20387,0.04647,0.0011187,0.0014857,0.006601,0.006601,0.006601
105,0.04501,0.0019608,0.0016497,0.53834,0.48133,0.48317,0.20406,0.046484,0.0011184,0.0014855,0.006568,0.006568,0.006568
106,0.045281,0.0019581,0.0017088,0.50457,0.50851,0.48318,0.20394,0.046493,0.0011181,0.0014852,0.006535,0.006535,0.006535
107,0.04493,0.0019803,0.0016623,0.54172,0.47955,0.48416,0.20403,0.046503,0.0011178,0.0014854,0.006502,0.006502,0.006502
108,0.044846,0.0019776,0.0016512,0.50007,0.51308,0.48441,0.20373,0.046509,0.0011174,0.0014853,0.006469,0.006469,0.006469
109,0.044803,0.0019688,0.0016378,0.50088,0.51262,0.4846,0.20377,0.046514,0.001117,0.0014835,0.006436,0.006436,0.006436
110,0.044673,0.001964,0.0015939,0.49649,0.52014,0.48573,0.20405,0.046522,0.0011169,0.0014824,0.006403,0.006403,0.006403
111,0.044425,0.0019744,0.001624,0.49943,0.51709,0.48562,0.20435,0.046528,0.0011164,0.0014828,0.00637,0.00637,0.00637
112,0.044835,0.0019608,0.001625,0.50132,0.51411,0.48517,0.20448,0.046526,0.0011162,0.0014829,0.006337,0.006337,0.006337
